id;name;detail;search_text;price;price_negotiable;jhi_condition;status;created_date;last_modified_date;last_reviewed_data;reviewed_count
1;Saint Helena Pound mesh;EXE Tasty Rubber Chips;action-items;64927;false;FAIR;ACTIVE;2020-07-13T02:41:18;2020-07-13T04:32:39;2020-07-13T09:21:17;83243
2;Pataca;orchid New York;Isle;81723;true;GOOD;PENDING;2020-07-13T10:57:01;2020-07-12T21:30:16;2020-07-13T16:12:31;29462
3;payment Up-sized;index PCI;Home Loan Account mint green Licensed Soft Shoes;96767;true;FAIR;DELETED;2020-07-13T14:44:26;2020-07-13T04:11:09;2020-07-13T02:16:22;11460
4;Digitized;Montserrat navigate Soft;Ergonomic Cotton Computer solutions;99651;true;WORN;ACTIVE;2020-07-13T14:43:38;2020-07-12T23:33:14;2020-07-13T00:17:13;10082
5;Fundamental Keys Producer;out-of-the-box Qatari Rial initiatives;Consultant synergize optical;30427;true;FAIR;ACTIVE;2020-07-13T12:24:05;2020-07-13T01:39:18;2020-07-13T14:04:40;67949
6;Unbranded Cotton Pizza holistic;South Africa Awesome;payment Enterprise-wide;11725;true;WORN;DELETED;2020-07-13T09:17:56;2020-07-12T23:14:16;2020-07-12T20:55:31;7835
7;Savings Account Tasty Steel Cheese;Games Kids Books;firmware target white;43987;true;FAIR;PENDING;2020-07-13T05:56:52;2020-07-13T15:01:45;2020-07-13T15:15:35;8201
8;override Harbors back up;Diverse;Global Montana AGP;73172;false;NEW;DELETED;2020-07-13T02:08:57;2020-07-13T14:02:44;2020-07-12T19:25:03;76426
9;Cambridgeshire;Program Handcrafted Plastic Computer;Down-sized;55565;false;NEW;DELETED;2020-07-13T17:08:03;2020-07-13T16:44:16;2020-07-13T17:10:10;54703
10;Identity payment multi-byte;Colombia SMTP;matrix application microchip;75387;false;FAIR;ACTIVE;2020-07-13T08:08:48;2020-07-12T21:17:19;2020-07-13T08:59:32;43691
